2023-02-08 00:56:44 [INFO] [SUCCESS]	[ID: 487144]  Title: SUPREME         	Price:30$	Link:https://bit.ly/3CdVCX3	Aff_link:https://s.click.aliexpress.com/e/_EIM4K9T	Saved-> 	Image files:['487144', '487143', '487142', '487141', '487140', '487139']	img count: 6
2023-02-08 00:56:48 [INFO] [SUCCESS]	[ID: 487138]  Title: SUPREME         	Price:30$	Link:https://bit.ly/3CdVCX3	Aff_link:https://s.click.aliexpress.com/e/_Evx7YZF	Saved-> 	Image files:['487138', '487137', '487136', '487135', '487134', '487133', '487132', '487131']	img count: 8
2023-02-08 00:56:58 [INFO] [SUCCESS]	[ID: 487130]  Title: SUPREME         	Price:30$	Link:https://bit.ly/3CdVCX3	Aff_link:https://s.click.aliexpress.com/e/_EvAulBF	Saved-> 	Image files:['487130', '487129', '487128', '487127', '487126', '487125', '487124', '487123', '487122', '487121']	img count: 10
2023-02-08 00:57:03 [INFO] [SUCCESS]	[ID: 487120]  Title: SUPREME         	Price:33$	Link:https://bit.ly/3G2mAlz	Aff_link:https://s.click.aliexpress.com/e/_EHRQmbR	Saved-> 	Image files:['487120', '487119', '487118', '487117', '487116']	img count: 5
2023-02-08 00:57:07 [INFO] [SUCCESS]	[ID: 487115]  Title: SUPREME         	Price:39$	Link:https://bit.ly/3IcGexS	Aff_link:https://s.click.aliexpress.com/e/_EyroEVT	Saved-> 	Image files:['487115', '487114', '487113', '487112']	img count: 4
2023-02-08 00:57:11 [INFO] [SUCCESS]	[ID: 487111]  Title: SUPREME         	Price:31$	Link:https://bit.ly/3VI88VW	Aff_link:https://s.click.aliexpress.com/e/_EJJBLHJ	Saved-> 	Image files:['487111', '487110', '487109', '487108', '487107', '487106', '487105', '487104', '487103']	img count: 9
2023-02-08 00:57:21 [INFO] [SUCCESS]	[ID: 487102]  Title: SUPREME         	Price:36$	Link:https://bit.ly/3GsW2eB	Aff_link:https://s.click.aliexpress.com/e/_EJPw9rx	Saved-> 	Image files:['487102', '487101', '487100', '487099', '487098', '487097', '487096', '487095', '487094']	img count: 9
2023-02-08 00:57:28 [INFO] [SUCCESS]	[ID: 487093]  Title: SUPREME         	Price:45$	Link:https://bit.ly/3hZn4B0	Aff_link:https://s.click.aliexpress.com/e/_EGLGug1	Saved-> 	Image files:['487093', '487092', '487091', '487090', '487089', '487088', '487087', '487086', '487085', '487084']	img count: 10
2023-02-08 00:57:39 [INFO] [SUCCESS]	[ID: 487083]  Title: SUPREME         	Price:37$	Link:https://bit.ly/3CbdW3b	Aff_link:https://s.click.aliexpress.com/e/_Exoer9P	Saved-> 	Image files:['487083', '487082', '487081', '487080', '487079', '487078', '487077', '487076', '487075']	img count: 9
2023-02-08 00:57:45 [INFO] [SUCCESS]	[ID: 487074]  Title: SUPREME         	Price:37$	Link:https://bit.ly/3CbdW3b	Aff_link:https://s.click.aliexpress.com/e/_EuiSPPT	Saved-> 	Image files:['487074', '487073', '487072', '487071', '487070', '487069', '487068', '487067']	img count: 8
2023-02-08 00:57:54 [INFO] [SUCCESS]	[ID: 487066]  Title: VANS backpack size 	Price:31.19$	Link:https://bit.ly/3wU7iev	Aff_link:https://s.click.aliexpress.com/e/_EuWNBOt	Saved-> 	Image files:['487066', '487065', '487064', '487063', '487062', '487061', '487060', '487059', '487058', '487057']	img count: 10
2023-02-08 00:57:59 [INFO] [SUCCESS]	[ID: 487056]  Title: SUPREME         	Price:37$	Link:https://bit.ly/3CbdW3b	Aff_link:https://s.click.aliexpress.com/e/_EuDSlmv	Saved-> 	Image files:['487056', '487055', '487054', '487053', '487052', '487051', '487050', '487049', '487048', '487047']	img count: 10
2023-02-08 00:58:10 [INFO] [SUCCESS]	[ID: 487046]  Title: SUPREME         	Price:22$	Link:https://bit.ly/3VyvBJ4	Aff_link:https://s.click.aliexpress.com/e/_EHjcslx	Saved-> 	Image files:['487046', '487045', '487044', '487043', '487042', '487041', '487040', '487039', '487038', '487037']	img count: 10
2023-02-08 00:58:14 [ERROR] [FAILED]	[ID: 487036]  Title: Follow our Look Ch 	Price:$	Link:https://bestallie.x.yupoo.com/	Aff_link:No Ali Express link detected	Saved-> 	Image files:['487036']	img count: 1
2023-02-08 00:58:21 [INFO] [SUCCESS]	[ID: 487035]  Title: SUPREME         	Price:40$	Link:https://bit.ly/3ZcwFp5	Aff_link:https://s.click.aliexpress.com/e/_EwdpExJ	Saved-> 	Image files:['487035', '487034', '487033', '487032', '487031', '487030', '487029', '487028']	img count: 8
