2023-01-28 17:46:12 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-12.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481737
2023-01-28 17:46:12 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-12 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481736
2023-01-28 17:46:13 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-12 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481735
2023-01-28 17:46:13 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-13.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481734
2023-01-28 17:46:13 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-13 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481733
2023-01-28 17:46:14 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-13 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481732
2023-01-28 17:46:14 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-14.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481731
2023-01-28 17:46:14 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-14 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481730
2023-01-28 17:46:14 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-14 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481729
2023-01-28 17:46:15 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-14 (3).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481728
2023-01-28 17:46:15 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-15.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481727
2023-01-28 17:46:15 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-15 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481726
2023-01-28 17:46:16 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-15 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481725
2023-01-28 17:46:16 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-16.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481724
2023-01-28 17:46:16 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-16 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481723
2023-01-28 17:46:16 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-16 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481722
2023-01-28 17:46:17 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-16 (3).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481721
2023-01-28 17:46:17 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-17.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481720
2023-01-28 17:46:17 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-17 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481719
2023-01-28 17:46:18 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-17 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481718
2023-01-28 17:46:18 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-18.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481717
2023-01-28 17:46:18 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-18 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481716
2023-01-28 17:46:19 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-18 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481715
2023-01-28 17:46:19 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-19.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481714
2023-01-28 17:46:19 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-19 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481713
2023-01-28 17:46:19 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-19 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481712
2023-01-28 17:46:20 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-19 (3).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481711
2023-01-28 17:46:20 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-20.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481710
2023-01-28 17:46:20 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-20 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481709
2023-01-28 17:46:21 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-20 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481708
2023-01-28 17:46:21 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-21.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481707
2023-01-28 17:46:21 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-21 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481706
2023-01-28 17:46:22 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-21 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481705
2023-01-28 17:46:22 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-22.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481704
2023-01-28 17:46:22 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-22 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481703
2023-01-28 17:46:23 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-22 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481702
2023-01-28 17:46:23 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-23.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481701
2023-01-28 17:46:23 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-23 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481700
2023-01-28 17:46:24 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-23 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481699
2023-01-28 17:46:24 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-24.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481698
2023-01-28 17:46:25 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-24 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481697
2023-01-28 17:46:26 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-25.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481696
2023-01-28 17:46:26 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-26.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481695
2023-01-28 17:46:27 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-26 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481694
2023-01-28 17:46:27 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-27.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481693
2023-01-28 17:46:28 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-27 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481692
2023-01-28 17:46:28 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-28.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481691
2023-01-28 17:46:28 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-28 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481690
2023-01-28 17:46:29 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-28 (2).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481689
2023-01-28 17:46:29 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-29.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481688
2023-01-28 17:46:30 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-29 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481687
2023-01-28 17:46:30 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-30.jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481686
2023-01-28 17:46:30 [INFO] full_file_name: /Users/user/Desktop/Backup/01-21/photo_2023-01-28_17-46-30 (1).jpg, handle_fd: /Users/user/Desktop/Backup/products_handaling/, id: 481685
