2023-02-03 14:39:24 [ERROR] [FAILED]	[ID: 484621]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484621', '484620', '484619', '484618', '484617', '484616', '484615', '484614', '484613', '484612']	img count: 164
2023-02-03 14:39:32 [ERROR] [FAILED]	[ID: 484611]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484611', '484610', '484609', '484608']	img count: 167
2023-02-03 14:39:42 [ERROR] [FAILED]	[ID: 484607]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484607', '484606', '484605', '484604', '484603', '484602', '484601']	img count: 173
2023-02-03 14:39:51 [ERROR] [FAILED]	[ID: 484600]  Title: NIKE            	Price:35$	Link:https://bit.ly/3Vt5S4E	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484600', '484599', '484598', '484597', '484596', '484595', '484594', '484593', '484592']	img count: 181
2023-02-03 14:39:58 [ERROR] [FAILED]	[ID: 484591]  Title: Catalogs

1) https 	Price:$	Link:https://hypeallie.online/jackzhang/	Aff_link:No Ali Express link detected	Saved-> 	Images files:['484591']	img count: 181
2023-02-03 14:40:06 [ERROR] [FAILED]	[ID: 484590]  Title: NIKE            	Price:33$	Link:https://bit.ly/3G2mAlz	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484590', '484589', '484588', '484587', '484586', '484585', '484584']	img count: 187
2023-02-03 14:40:17 [ERROR] [FAILED]	[ID: 484583]  Title: NIKE            	Price:60$	Link:https://bit.ly/3Gv9a2Q	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484583', '484582', '484581', '484580', '484579', '484578', '484577']	img count: 193
2023-02-03 14:40:34 [ERROR] [FAILED]	[ID: 484576]  Title: NIKE            	Price:70$	Link:https://bit.ly/3WWfCFQ	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484576', '484575', '484574', '484573', '484572', '484571', '484570', '484569', '484568', '484567']	img count: 202
2023-02-03 14:40:48 [INFO] [SUCCESS]	[ID: 484566]  Title: Louis Vuitton  LV  	Price:73.45$	Link:https://bit.ly/3jfM1sH	Aff_link:https://s.click.aliexpress.com/e/_Ew1CAyH	Saved-> 	Images files:['484566', '484565', '484564', '484563', '484562', '484561', '484560', '484559', '484558', '484557']	img count: 211
2023-02-03 14:41:02 [ERROR] [FAILED]	[ID: 484556]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484556', '484555', '484554', '484553', '484552', '484551', '484550', '484549', '484548', '484547']	img count: 220
2023-02-03 14:41:14 [ERROR] [FAILED]	[ID: 484546]  Title: NIKE            	Price:65$	Link:https://bit.ly/3vtyxfa	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484546', '484545', '484544', '484543', '484542', '484541', '484540', '484539', '484538', '484537']	img count: 229
2023-02-03 14:41:22 [ERROR] [FAILED]	[ID: 484536]  Title: Coach bag High qua 	Price:65.76$	Link:https://bit.ly/3HqquFP	Aff_link:No Ali Express link detected	Saved-> 	Images files:['484536', '484535', '484534', '484533', '484532', '484531', '484530', '484529', '484528', '484527']	img count: 238
2023-02-03 14:41:29 [ERROR] [FAILED]	[ID: 484526]  Title: NIKE            	Price:70$	Link:https://bit.ly/3WWfCFQ	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484526', '484525', '484524', '484523']	img count: 241
2023-02-03 14:41:40 [ERROR] [FAILED]	[ID: 484522]  Title: Ralph Lauren RL sw 	Price:60.88$	Link:https://bit.ly/3RnWoal	Aff_link:No Ali Express link detected	Saved-> 	Images files:['484522', '484521', '484520', '484519', '484518', '484517', '484516', '484515', '484514', '484513']	img count: 250
2023-02-03 14:41:51 [INFO] [SUCCESS]	[ID: 484512]  Title: Moncler jacket  	Price:83.88$	Link:https://bit.ly/3YfcMwe	Aff_link:https://s.click.aliexpress.com/e/_Ey02IeZ	Saved-> 	Images files:['484512', '484511', '484510', '484509', '484508', '484507', '484506', '484505', '484504']	img count: 258
2023-02-03 14:41:59 [ERROR] [FAILED]	[ID: 484503]  Title: NIKE            	Price:70$	Link:https://bit.ly/3WWfCFQ	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484503', '484502', '484501', '484500', '484499', '484498', '484497']	img count: 264
2023-02-03 14:42:08 [ERROR] [FAILED]	[ID: 484496]  Title: Coach REVEL BAG 	Price:69.54$	Link:https://bit.ly/40j1xV5	Aff_link:No Ali Express link detected	Saved-> 	Images files:['484496', '484495', '484494', '484493', '484492', '484491', '484490', '484489', '484488', '484487']	img count: 273
