2023-02-03 03:11:26 [ERROR] [FAILED]	[ID: 484503]  Title: NIKE            	Price:70$	Link:https://bit.ly/3WWfCFQ	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484512', '484511', '484510', '484509', '484508', '484507', '484506', '484505', '484504']	img count: 8
2023-02-03 03:11:33 [ERROR] [FAILED]	[ID: 484496]  Title: Coach REVEL BAG 	Price:69.54$	Link:https://bit.ly/40j1xV5	Aff_link:No Ali Express link detected	Saved-> 	Images files:['484503', '484502', '484501', '484500', '484499', '484498', '484497']	img count: 14
2023-02-03 03:11:41 [INFO] [SUCCESS]	[ID: 484486]  Title: Nike Air Presto x  	Price:57.60$	Link:https://bit.ly/3Jq70DD	Aff_link:https://s.click.aliexpress.com/e/_EIjxGGV	Saved-> 	Images files:['484496', '484495', '484494', '484493', '484492', '484491', '484490', '484489', '484488', '484487']	img count: 23
2023-02-03 03:11:49 [ERROR] [FAILED]	[ID: 484478]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484486', '484485', '484484', '484483', '484482', '484481', '484480', '484479']	img count: 30
2023-02-03 03:11:57 [INFO] [SUCCESS]	[ID: 484470]  Title: Ralph Lauren Sweat 	Price:41.28$	Link:https://bit.ly/3jl25cN	Aff_link:https://s.click.aliexpress.com/e/_EG7cqfx	Saved-> 	Images files:['484478', '484477', '484476', '484475', '484474', '484473', '484472', '484471']	img count: 37
2023-02-03 03:12:05 [INFO] [SUCCESS]	[ID: 484461]  Title: Chloe sunglasses 	Price:26.40$	Link:https://bit.ly/3Y5nzJk	Aff_link:https://s.click.aliexpress.com/e/_EzFdted	Saved-> 	Images files:['484470', '484469', '484468', '484467', '484466', '484465', '484464', '484463', '484462']	img count: 45
2023-02-03 03:12:13 [ERROR] [FAILED]	[ID: 484453]  Title: NIKE            	Price:55$	Link:https://bit.ly/3WAhT9C	Aff_link:Failed to convert Ali Express link	Saved-> 	Images files:['484461', '484460', '484459', '484458', '484457', '484456', '484455', '484454']	img count: 52
2023-02-03 03:12:19 [ERROR] [FAILED]	[ID: 484446]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484453', '484452', '484451', '484450', '484449', '484448', '484447']	img count: 58
2023-02-03 03:12:27 [INFO] [SUCCESS]	[ID: 484438]  Title: Dyson hair dryer h 	Price:156$	Link:https://bit.ly/3Y0ITzM	Aff_link:https://s.click.aliexpress.com/e/_EHC53Nx	Saved-> 	Images files:['484446', '484445', '484444', '484443', '484442', '484441', '484440', '484439']	img count: 65
2023-02-03 03:12:43 [INFO] [SUCCESS]	[ID: 484428]  Title: Adidas Originals H 	Price:54$	Link:https://bit.ly/3Re3GNX	Aff_link:https://s.click.aliexpress.com/e/_EGvDBcZ	Saved-> 	Images files:['484438', '484437', '484436', '484435', '484434', '484433', '484432', '484431', '484430', '484429']	img count: 74
2023-02-03 03:12:49 [ERROR] [FAILED]	[ID: 484418]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484428', '484427', '484426', '484425', '484424', '484423', '484422', '484421', '484420', '484419']	img count: 83
2023-02-03 03:12:54 [ERROR] [FAILED]	[ID: 484412]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484418', '484417', '484416', '484415', '484414', '484413']	img count: 88
2023-02-03 03:13:01 [INFO] [SUCCESS]	[ID: 484406]  Title: Louis Vuitton LV Q 	Price:26.38$	Link:https://bit.ly/3HSiZZu	Aff_link:https://s.click.aliexpress.com/e/_EwBUJFf	Saved-> 	Images files:['484412', '484411', '484410', '484409', '484408', '484407']	img count: 93
2023-02-03 03:13:11 [INFO] [SUCCESS]	[ID: 484396]  Title: RADO watch good qu 	Price:56.28$	Link:https://bit.ly/3YbR7Fb	Aff_link:https://s.click.aliexpress.com/e/_Ew408Rj	Saved-> 	Images files:['484406', '484405', '484404', '484403', '484402', '484401', '484400', '484399', '484398', '484397']	img count: 102
2023-02-03 03:13:17 [ERROR] [FAILED]	[ID: 484386]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484396', '484395', '484394', '484393', '484392', '484391', '484390', '484389', '484388', '484387']	img count: 111
2023-02-03 03:13:24 [ERROR] [FAILED]	[ID: 484376]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484386', '484385', '484384', '484383', '484382', '484381', '484380', '484379', '484378', '484377']	img count: 120
2023-02-03 03:13:31 [INFO] [SUCCESS]	[ID: 484370]  Title: RADO watch good qu 	Price:56.28$	Link:https://bit.ly/3YbR7Fb	Aff_link:https://s.click.aliexpress.com/e/_EuBWG4N	Saved-> 	Images files:['484376', '484375', '484374', '484373', '484372', '484371']	img count: 125
2023-02-03 03:13:38 [ERROR] [FAILED]	[ID: 484360]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484370', '484369', '484368', '484367', '484366', '484365', '484364', '484363', '484362', '484361']	img count: 134
2023-02-03 03:13:44 [ERROR] [FAILED]	[ID: 484352]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484360', '484359', '484358', '484357', '484356', '484355', '484354', '484353']	img count: 141
2023-02-03 03:13:52 [ERROR] [FAILED]	[ID: 484344]  Title: no title        	Price:no title	Link:no title	Aff_link:no title	Saved-> 	Images files:['484352', '484351', '484350', '484349', '484348', '484347', '484346', '484345']	img count: 148
